Country,Agriculture,Aquafarming,Construction,Domestic work,Hospitality,Manufacturing,Mining or Drilling,Peddling,Transport,Child care,Trade,Support services,Health,Entertainment,Other services
Armenia,0.00,0.00,25.00,0.00,0.00,58.33,0.00,0.00,0.00,8.33,0.00,0.00,0.00,8.33,0.00
Austria,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00
Bosnia and Herzegovina,0.00,0.00,0.00,9.09,81.82,0.00,0.00,0.00,0.00,9.09,0.00,0.00,0.00,0.00,0.00
Czechia,1.56,0.00,53.13,1.56,4.69,29.69,0.00,0.00,4.69,0.00,0.00,1.56,0.00,1.56,1.56
Egypt,8.33,0.00,0.00,80.00,1.67,1.67,0.00,0.00,0.00,0.00,3.33,1.67,0.00,3.33,0.00
Ethiopia,0.00,0.00,0.00,77.78,7.41,0.00,0.00,0.00,0.00,14.81,0.00,0.00,0.00,0.00,0.00
France,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
Georgia,43.33,0.00,53.33,3.33,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Ghana,1.92,98.08,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Greece,0.00,0.00,0.00,20.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,30.00,0.00
Indonesia,0.30,71.22,0.00,24.04,3.26,0.00,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00,0.89
Italy,13.56,0.00,11.86,38.98,22.88,0.00,0.00,0.00,0.00,4.24,0.00,0.85,5.93,0.85,0.85
Lao People's Democratic Republic,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mali,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mozambique,0.00,50.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Philippines,2.89,0.00,0.00,86.91,3.03,7.16,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Portugal,15.15,0.00,48.48,1.52,1.52,30.30,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.52,1.52
Rwanda,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Serbia,1.64,0.00,3.28,8.20,72.13,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,14.75,0.00
Sierra Leone,0.00,0.00,0.00,50.00,33.33,0.00,0.00,16.67,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Sudan,16.67,0.00,0.00,33.33,0.00,0.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Switzerland,0.00,0.00,0.00,40.91,0.00,0.00,0.00,0.00,0.00,36.36,4.55,0.00,0.00,18.18,0.00
Thailand,0.00,27.27,0.00,24.24,6.06,33.33,0.00,3.03,0.00,0.00,3.03,0.00,0.00,0.00,3.03
Timor-Leste,0.00,0.00,0.00,0.00,50.00,50.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Turkey,0.97,0.00,0.48,39.61,23.19,5.31,0.00,0.00,3.38,18.84,0.97,2.42,0.48,3.38,0.97
Uganda,40.00,0.00,0.00,40.00,0.00,0.00,0.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00
United Arab Emirates,2.94,2.94,0.00,73.53,8.82,0.00,0.00,2.94,0.00,2.94,2.94,0.00,0.00,0.00,2.94
United Kingdom,0.00,0.00,0.00,25.00,12.50,62.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
United States,23.74,0.41,5.79,36.31,22.33,3.80,0.00,6.12,1.41,0.00,0.00,0.00,0.00,0.08,0.00
Yemen,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
