Sector,Africa,Americas,Asia,Europe
Agriculture,7.53,24.17,6.84,17.18
Aquafarming,15.36,0.42,5.40,0.70
Construction,0.30,5.63,11.28,42.71
Domestic work,61.14,38.65,61.52,4.25
Hospitality,3.31,12.29,5.44,5.03
Manufacturing,2.71,10.42,4.83,22.91
Mining or Drilling,0.90,0.00,0.00,0.38
Peddling,1.20,4.58,1.19,0.56
Transport,0.00,0.63,0.51,1.94
Child care,5.42,1.46,1.00,0.88
Trade,0.30,1.25,0.74,0.78
Support services,0.30,0.10,0.20,0.62
Health,0.00,0.00,0.06,0.50
Entertainment,0.00,0.42,0.70,1.00
Other services,1.51,0.00,0.29,0.56
